id,lon,lat,title,roi_err,w_code,level,far_fog_color,s_value,l_value,v_value,hsl,road_code
38,37.7585460,128.8047310,평창휴게소(강릉)_20170129_1500-1600_주간_눈안개_2.avi,N,snow,0,153,0,0,1020,0,0
39,37.7585460,128.8047310,평창휴게소(강릉)_20170129_1500-1600_주간_눈안개_3.avi,N,snow,0,161,0,0,1020,0,0
40,37.7585460,128.8047310,평창휴게소(강릉)_20170130_1000-1100_주간_눈안개.avi,N,snow,0,129,0,0,1020,0,0
41,37.7585460,128.8047310,평창휴게소(강릉)_20170130_1000-1100_주간_눈안개_2.avi,N,snow,0,138,0,0,1015,0,0
42,37.7585460,128.8047310,평창휴게소(강릉)_20170130_1000-1100_주간_눈안개_3.avi,N,snow,0,135,0,0,1017,0,0
43,37.7585460,128.8047310,후용리_20170101_0800-0830_주간_안개.avi,N,fog,0,150,0,0,1020,0,0
44,37.7585460,128.8047310,후용리_20170101_0800-0830_주간_안개_2.avi,N,fog,0,151,0,0,463,0,0
114,37.7585460,128.8047310,후용리_20170101_0800-0830_주간_안개_3.avi,N,fog,0,150,0,0,629,0,0
115,37.7585460,128.8047310,후용리_20170102_0830-0900_주간_안개.avi,N,fog,0,146,0,0,1020,0,0
116,37.7585460,128.8047310,후용리_20170102_0830-0900_주간_안개_2.avi,N,fog,0,149,0,0,1020,0,0
117,37.7585460,128.8047310,후용리_20170102_0830-0900_주간_안개_3.avi,N,fog,0,148,0,0,1020,0,0
118,37.7585460,128.8047310,후용리_20170103_1130-1200_주간_안개.avi,N,fog,2,166,0,0,0,0,0
119,37.7585460,128.8047310,후용리_20170103_1130-1200_주간_안개_2.avi,N,fog,2,167,0,0,0,0,0
